helpfulness,correctness,coherence,complexity,verbosity,label,word_count,char_count,sentence_count,avg_sentence_length,unique_words,vocab_diversity,coleman_liau,list_count,paragraph_count,punctuation_count,reference_count,syntax_tree_depth,average_dependency_length,passive_voice_ratio,subordinate_clause_rate,noun_verb_ratio,adjective_ratio,adverb_ratio,pronoun_ratio,contraction_rate,average_word_length,hedging_frequency,discourse_marker_rate,style_score,format_score,wording_score,helpfulness_score,correctness_score,coherence_score,complexity_score,verbosity_score
4,4,4,2,2,Human,214.0,1289.0,11.0,19.454545454545453,80.0,0.3738317757009345,10.867663551401868,6.0,8.0,27.0,0.0,7.0,3.0,0.1818181818181818,0.1818181818181818,1.2692307692307692,0.0192307692307692,0.0048076923076923,0.1009615384615384,0.0,4.971153846153846,0.0,0.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,3,3,LLM,214.0,1289.0,11.0,19.454545454545453,80.0,0.3738317757009345,10.867663551401868,6.0,8.0,27.0,0.0,7.0,3.0,0.1818181818181818,0.1818181818181818,1.2692307692307692,0.0192307692307692,0.0048076923076923,0.1009615384615384,0.0,4.971153846153846,0.0,0.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,2,2,Human,185.0,1098.0,7.0,26.428571428571427,82.0,0.4432432432432432,11.55827027027027,0.0,3.0,16.0,0.0,11.0,3.321428571428572,0.1428571428571428,0.1428571428571428,1.181818181818182,0.0702702702702702,0.0324324324324324,0.0594594594594594,0.0,4.843243243243244,0.0054054054054054,0.0,3.8,3.5,3.2,4.0,4.0,4.0,3.5,3.3
4,4,4,3,4,LLM,185.0,1098.0,7.0,26.428571428571427,82.0,0.4432432432432432,11.55827027027027,0.0,3.0,16.0,0.0,11.0,3.321428571428572,0.1428571428571428,0.1428571428571428,1.181818181818182,0.0702702702702702,0.0324324324324324,0.0594594594594594,0.0,4.843243243243244,0.0054054054054054,0.0,3.8,3.5,3.2,4.0,4.0,4.0,3.5,3.3
0,0,3,2,1,Human,165.0,891.0,12.0,13.75,112.0,0.6787878787878788,5.6669090909090905,7.0,3.0,25.0,0.0,9.0,2.913513513513513,0.0833333333333333,0.3333333333333333,0.8409090909090909,0.0636942675159235,0.0127388535031847,0.0828025477707006,0.019108280254777,4.375796178343949,0.0,0.0,3.5,4.0,3.0,4.0,4.0,4.0,3.0,3.5
4,4,4,3,3,LLM,165.0,891.0,12.0,13.75,112.0,0.6787878787878788,5.6669090909090905,7.0,3.0,25.0,0.0,9.0,2.913513513513513,0.0833333333333333,0.3333333333333333,0.8409090909090909,0.0636942675159235,0.0127388535031847,0.0828025477707006,0.019108280254777,4.375796178343949,0.0,0.0,3.5,4.0,3.0,4.0,4.0,4.0,3.0,3.5
4,4,4,2,2,Human,198.0,1113.0,10.0,19.8,105.0,0.5303030303030303,8.002828282828283,4.0,6.0,35.0,0.0,15.0,3.247787610619469,0.1,0.0,2.055555555555556,0.082901554404145,0.0207253886010362,0.0569948186528497,0.0103626943005181,4.435233160621761,0.0,0.1,3.8,4.0,3.6,4.0,3.0,4.0,3.5,3.2
3,3,4,3,3,LLM,198.0,1113.0,10.0,19.8,105.0,0.5303030303030303,8.002828282828283,4.0,6.0,35.0,0.0,15.0,3.247787610619469,0.1,0.0,2.055555555555556,0.082901554404145,0.0207253886010362,0.0569948186528497,0.0103626943005181,4.435233160621761,0.0,0.1,3.8,4.0,3.6,4.0,3.0,4.0,3.5,3.2
3,4,3,2,2,Human,218.0,1344.0,15.0,14.533333333333331,75.0,0.3440366972477064,11.184770642201835,5.0,7.0,35.0,0.0,10.0,3.292181069958848,0.6666666666666666,0.1333333333333333,1.181818181818182,0.1126760563380281,0.028169014084507,0.0938967136150234,0.0093896713615023,5.028169014084507,0.0,0.0,3.8,4.0,3.5,4.0,4.0,4.0,3.8,3.5
4,4,4,3,4,LLM,218.0,1344.0,15.0,14.533333333333331,75.0,0.3440366972477064,11.184770642201835,5.0,7.0,35.0,0.0,10.0,3.292181069958848,0.6666666666666666,0.1333333333333333,1.181818181818182,0.1126760563380281,0.028169014084507,0.0938967136150234,0.0093896713615023,5.028169014084507,0.0,0.0,3.8,4.0,3.5,4.0,4.0,4.0,3.8,3.5
3,3,4,2,3,Human,175.0,1136.0,8.0,21.875,95.0,0.5428571428571428,13.859657142857142,0.0,4.0,32.0,0.0,8.0,3.2794117647058822,0.5,0.125,3.3,0.1363636363636363,0.0227272727272727,0.0227272727272727,0.0,5.244318181818182,0.0,0.125,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5
3,2,4,3,3,LLM,175.0,1136.0,8.0,21.875,95.0,0.5428571428571428,13.859657142857142,0.0,4.0,32.0,0.0,8.0,3.2794117647058822,0.5,0.125,3.3,0.1363636363636363,0.0227272727272727,0.0227272727272727,0.0,5.244318181818182,0.0,0.125,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5
4,4,4,3,3,Human,524.0,3277.0,25.0,20.96,199.0,0.3797709923664122,12.241603053435114,22.0,11.0,84.0,0.0,11.0,4.278523489932886,0.16,0.2,1.588785046728972,0.0892857142857142,0.0158730158730158,0.0555555555555555,0.0019841269841269,5.265873015873016,0.0059523809523809,0.0,3.5,3.8,3.5,3.0,4.0,3.8,3.5,3.0
4,4,4,3,4,LLM,524.0,3277.0,25.0,20.96,199.0,0.3797709923664122,12.241603053435114,22.0,11.0,84.0,0.0,11.0,4.278523489932886,0.16,0.2,1.588785046728972,0.0892857142857142,0.0158730158730158,0.0555555555555555,0.0019841269841269,5.265873015873016,0.0059523809523809,0.0,3.5,3.8,3.5,3.0,4.0,3.8,3.5,3.0
4,4,4,2,1,Human,17.0,86.0,2.0,8.5,16.0,0.9411764705882352,3.891764705882352,0.0,1.0,3.0,0.0,6.0,2.6666666666666665,0.0,0.0,1.0,0.0,0.0,0.1764705882352941,0.0,3.941176470588236,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
3,4,4,1,2,LLM,17.0,86.0,2.0,8.5,16.0,0.9411764705882352,3.891764705882352,0.0,1.0,3.0,0.0,6.0,2.6666666666666665,0.0,0.0,1.0,0.0,0.0,0.1764705882352941,0.0,3.941176470588236,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
4,4,4,2,2,Human,372.0,2379.0,21.0,17.714285714285715,126.0,0.3387096774193548,13.19301075268817,8.0,9.0,47.0,0.0,11.0,2.968058968058968,0.1428571428571428,0.2857142857142857,1.5342465753424657,0.0876712328767123,0.0082191780821917,0.0465753424657534,0.0,5.326027397260274,0.0027397260273972,0.0,4.0,4.0,3.8,4.0,4.0,4.0,3.8,3.5
4,4,4,4,4,LLM,372.0,2379.0,21.0,17.714285714285715,126.0,0.3387096774193548,13.19301075268817,8.0,9.0,47.0,0.0,11.0,2.968058968058968,0.1428571428571428,0.2857142857142857,1.5342465753424657,0.0876712328767123,0.0082191780821917,0.0465753424657534,0.0,5.326027397260274,0.0027397260273972,0.0,4.0,4.0,3.8,4.0,4.0,4.0,3.8,3.5
2,2,3,2,1,Human,292.0,1918.0,8.0,36.5,72.0,0.2465753424657534,14.72082191780822,0.0,7.0,54.0,0.0,9.0,3.847887323943662,0.0,0.0,8.0,0.081081081081081,0.0135135135135135,0.0371621621621621,0.0067567567567567,5.266891891891892,0.0,0.0,3.5,4.0,3.0,3.5,2.5,4.0,2.0,2.5
2,3,3,2,2,LLM,292.0,1918.0,8.0,36.5,72.0,0.2465753424657534,14.72082191780822,0.0,7.0,54.0,0.0,9.0,3.847887323943662,0.0,0.0,8.0,0.081081081081081,0.0135135135135135,0.0371621621621621,0.0067567567567567,5.266891891891892,0.0,0.0,3.5,4.0,3.0,3.5,2.5,4.0,2.0,2.5
3,2,4,1,2,Human,626.0,3706.0,36.0,17.38888888888889,250.0,0.3993610223642173,9.876357827476038,8.0,19.0,107.0,0.0,10.0,3.042995839112344,0.0,0.3888888888888889,0.6896551724137931,0.1348314606741573,0.0192616372391653,0.1139646869983948,0.0369181380417335,4.664526484751204,0.0048154093097913,0.0277777777777777,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,3,4,LLM,626.0,3706.0,36.0,17.38888888888889,250.0,0.3993610223642173,9.876357827476038,8.0,19.0,107.0,0.0,10.0,3.042995839112344,0.0,0.3888888888888889,0.6896551724137931,0.1348314606741573,0.0192616372391653,0.1139646869983948,0.0369181380417335,4.664526484751204,0.0048154093097913,0.0277777777777777,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,2,2,Human,278.0,1810.0,19.0,14.63157894736842,131.0,0.4712230215827338,14.096834532374096,0.0,8.0,37.0,0.0,9.0,2.718032786885246,0.4210526315789473,0.0526315789473684,1.4406779661016949,0.0812720848056537,0.0106007067137809,0.0600706713780918,0.0,5.261484098939929,0.0,0.0,3.8,3.6,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,3,3,LLM,278.0,1810.0,19.0,14.63157894736842,131.0,0.4712230215827338,14.096834532374096,0.0,8.0,37.0,0.0,9.0,2.718032786885246,0.4210526315789473,0.0526315789473684,1.4406779661016949,0.0812720848056537,0.0106007067137809,0.0600706713780918,0.0,5.261484098939929,0.0,0.0,3.8,3.6,3.5,4.0,4.0,4.0,3.5,3.5
4,4,4,2,4,Human,370.0,2539.0,19.0,19.473684210526315,141.0,0.3810810810810811,16.180108108108108,0.0,12.0,51.0,0.0,9.0,2.8043478260869565,0.0526315789473684,0.2631578947368421,1.193181818181818,0.1347708894878706,0.0269541778975741,0.0539083557951482,0.0107816711590296,5.671159029649596,0.0053908355795148,0.0526315789473684,4.0,4.0,3.8,4.0,4.0,4.0,4.0,3.5
