label,ranking_0,ranking_1,ranking_2
Human,2,1,0
LLM,2,1,0
Human,0,2,1
LLM,0,2,1
Human,1,2,0
LLM,2,0,1
Human,1,2,0
LLM,0,1,2
Human,0,2,1
LLM,0,2,1
Human,0,1,2
LLM,0,2,1
Human,0,2,1
LLM,0,2,1
Human,1,2,0
LLM,2,0,1
Human,2,1,0
LLM,1,2,0
Human,0,2,1
LLM,0,2,1
Human,2,0,1
LLM,2,1,0
Human,1,0,2
LLM,1,0,2
Human,2,1,0
LLM,2,0,1
Human,1,2,0
LLM,0,2,1
Human,0,1,2
LLM,0,2,1
Human,2,0,1
LLM,1,2,0
Human,1,2,0
LLM,0,2,1
Human,0,2,1
LLM,0,2,1
Human,2,0,1
LLM,1,2,0
Human,2,1,0
LLM,2,1,0
Human,0,2,1
LLM,0,2,1
Human,1,2,0
LLM,0,2,1
Human,0,1,2
LLM,1,0,2
Human,0,2,1
LLM,0,2,1
Human,1,2,0
LLM,2,0,1
Human,0,2,1
LLM,0,1,2
Human,0,2,1
LLM,2,0,1
Human,0,2,1
LLM,1,0,2
Human,1,2,0
LLM,0,2,1
Human,1,2,0
LLM,2,1,0
Human,1,2,0
LLM,0,2,1
Human,1,0,2
LLM,1,0,2
Human,0,1,2
LLM,1,0,2
Human,1,0,2
LLM,0,1,2
Human,2,0,1
LLM,2,0,1
Human,1,0,2
LLM,0,1,2
Human,1,2,0
LLM,2,0,1
Human,2,0,1
LLM,1,2,0
Human,2,1,0
LLM,2,1,0
Human,2,1,0
LLM,1,2,0
Human,1,2,0
LLM,2,0,1
Human,1,2,0
LLM,0,1,2
Human,0,2,1
LLM,0,2,1
Human,1,0,2
LLM,1,0,2
Human,1,0,2
LLM,1,0,2
Human,2,1,0
LLM,2,1,0
Human,2,0,1
LLM,0,1,2
Human,2,1,0
LLM,1,2,0
Human,2,1,0
LLM,1,2,0
Human,0,1,2
LLM,0,1,2
Human,1,2,0
LLM,0,2,1
Human,1,0,2
LLM,1,0,2
Human,2,0,1
LLM,1,2,0
Human,0,1,2
LLM,0,1,2
Human,0,1,2
LLM,0,1,2
Human,2,1,0
LLM,1,2,0
Human,2,1,0
LLM,1,2,0
Human,2,0,1
LLM,2,0,1
Human,0,1,2
LLM,1,0,2
Human,1,2,0
LLM,0,1,2
Human,2,1,0
LLM,2,0,1
Human,1,2,0
LLM,2,0,1
Human,2,1,0
LLM,1,2,0
Human,0,1,2
LLM,0,1,2
Human,0,1,2
LLM,1,0,2
Human,1,2,0
LLM,0,1,2
Human,1,0,2
LLM,0,1,2
Human,1,0,2
LLM,0,1,2
Human,0,1,2
LLM,1,0,2
Human,2,0,1
LLM,2,1,0
Human,1,2,0
LLM,2,0,1
Human,1,0,2
LLM,1,0,2
Human,1,2,0
LLM,2,0,1
Human,1,0,2
LLM,0,1,2
Human,0,2,1
LLM,2,0,1
Human,1,0,2
LLM,1,2,0
Human,0,2,1
LLM,0,1,2
Human,0,1,2
LLM,0,2,1
Human,2,0,1
LLM,1,0,2
Human,0,2,1
LLM,0,1,2
Human,0,2,1
LLM,0,1,2
Human,2,0,1
LLM,1,2,0
Human,1,0,2
LLM,0,1,2
Human,0,2,1
LLM,0,2,1
Human,2,1,0
LLM,2,1,0
Human,2,1,0
LLM,2,0,1
Human,1,2,0
LLM,2,0,1
Human,0,2,1
LLM,0,2,1
Human,0,2,1
LLM,2,0,1
Human,0,2,1
LLM,0,2,1
Human,2,1,0
LLM,1,2,0
Human,1,0,2
LLM,1,0,2
